item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11
Yogurt,Blueberries,Crackers,Lime,Breadcrumbs,Frozen Fish,Peaches,Peanut Butter,Waffles,nan,Frozen Dinners
Broccoli,Quinoa,Crackers,Whipped Cream,Raspberries,Frozen Shrimp,Lemon,Cornstarch,Bell Pepper,Cookies,Broccoli
Avocado,Beans,Canned Soup,Oats,Avocado,Carrot,Butter,nan,Eggs,Grapes,Salt
Strawberries,Zucchini,Peas,Frozen Pizza,Soy Milk,Nectarines,Waffles,Honey,nan,Relish,Lentils
nan,Potato,Ketchup,Banana,Beef,Crackers,Garlic,Butter Milk,Frozen Fish,Beans,Raspberries
Strawberries,Corn,nan,Half and Half,nan,Apple,Cheese,Salt,Banana,Grapes,nan
Brown Sugar,Barley,Salsa,Chili Pepper,Almond Milk,nan,Jam,Whipped Cream,Honeydew,Salt,Kale
Pickles,Salt,Frozen Vegetables,Eggs,Cornstarch,Maple Syrup,Barley,nan,nan,Blueberries,Potato
Vinegar,Celery,Cottage Cheese,Chia Seeds,Blackberries,Corn,Hot Sauce,Maple Syrup,Water,Soy Sauce,Breadcrumbs
Half and Half,Rice,Lime,Chicken,Sugar,Plums,nan,Chia Seeds,Ice Cream,Cauliflower,Peanut Butter
Canned Soup,Ice Cream,Couscous,Nuts,Cantaloupe,Mangoes,Brown Sugar,Grapes,Chili Pepper,Hot Sauce,Heavy Cream
nan,Dried Fruit,Water,Breadcrumbs,Lime,Asparagus,Orange,Frozen Fruits,Canned Soup,Lime,nan
nan,Canned Tomatoes,Soy Sauce,Tomato,nan,Carrot,Yeast,Barley,Couscous,Water,Farro
nan,Maple Syrup,nan,Salt,Waffles,Ice Cream,Cauliflower,Barley,nan,Tea,Crackers
Salsa,Water,Pancake Mix,Orange,Fish,Corn,nan,nan,Cereal,Whipped Cream,Strawberries
Cantaloupe,Cantaloupe,Avocado,Frozen Dinners,Pickles,Barley,Watermelon,Cornstarch,Milk,Chocolate,Pears
Bread,Water,Canned Soup,Orange,Frozen Fruits,Cereal,Yogurt,Relish,Pasta,Pickles,Sour Cream
Water,Raspberries,Ketchup,Eggplant,Corn,Powdered Sugar,Brussels Sprouts,Eggplant,Mushrooms,Green Beans,Mangoes
Salsa,Barley,Water,Cornstarch,nan,Nectarines,Chocolate,Grapes,Soy Milk,Mangoes,Honey
Frozen Fish,Eggs,Butter,Hot Sauce,Bread,Canned Beans,Butter Milk,Nectarines,Ketchup,Onion,Celery
Canned Beans,Salt,Eggplant,Water,Raspberries,Kale,Rice,Powdered Sugar,Chocolate,Lentils,Vinegar
Nuts,Coffee,Ketchup,Raspberries,nan,Watermelon,Oats,nan,Butter,nan,Cantaloupe
Apple,Lentils,Cornstarch,Chicken,Grapes,Maple Syrup,Frozen Vegetables,Bread,Cheese,Lime,nan
Baking Soda,Milk,nan,nan,Breadcrumbs,Pickles,Breadcrumbs,Sugar,Raspberries,Garlic,Salt
Frozen Fruits,Canned Beans,Orange,Cottage Cheese,nan,Cantaloupe,Cornstarch,Ice Cream,Maple Syrup,Blueberries,Breadcrumbs
Carrot,Cucumber,Green Beans,Blackberries,Lemon,Peanut Butter,Cornstarch,Peaches,Dried Fruit,Coffee,Half and Half
Watermelon,Lentils,Blackberries,Kale,Nuts,Brown Sugar,Lettuce,Almond Milk,Cauliflower,Blackberries,nan
Lentils,Nuts,Asparagus,Yeast,Celery,Lettuce,Celery,Cucumber,Heavy Cream,Flour,Yogurt
Frozen Fruits,Plums,Chicken,Banana,Whipped Cream,Bell Pepper,Tea,Cucumber,Radishes,Couscous,Frozen Shrimp
Beef,Radishes,Onion,Relish,Pickles,Crackers,Ice Cream,Celery,Peas,Spinach,Tomato
Dried Fruit,Mangoes,Canned Tomatoes,Green Beans,Cheese,Eggplant,Canned Tomatoes,Mustard,Couscous,Frozen Fruits,Dried Fruit
Plums,Ice Cream,Strawberries,Apple,Rice,Tomato,Mushrooms,Flax Seeds,nan,Mayonnaise,nan
Beans,Honeydew,Flour,Rice,Pasta,Canned Tuna,Quinoa,Lettuce,nan,nan,Chicken
Oats,Grapes,Beans,Half and Half,Apple,Juice,Pineapple,Spinach,Honeydew,Beef,Frozen Pizza
Chia Seeds,Frozen Vegetables,nan,Honeydew,Beef,Hot Sauce,Honeydew,Whipped Cream,Cantaloupe,Butter,Crackers
Radishes,Kale,Butter,nan,Tomato,Garlic,Milk,Broccoli,nan,Maple Syrup,nan
Brussels Sprouts,Kale,Pickles,Carrot,Peanut Butter,Blueberries,Spaghetti Sauce,Sour Cream,Olive Oil,Nectarines,Frozen Pizza
Potato,Beans,Onion,Mushrooms,Beans,Olive Oil,Carrot,Corn,Milk,Yogurt,Banana
Half and Half,Garlic,Nuts,Radishes,Brussels Sprouts,Soy Milk,Frozen Dinners,nan,Quinoa,Peas,Butter Milk
Heavy Cream,Frozen Fruits,Pears,Half and Half,Heavy Cream,Lemon,Tomato,Lemon,Powdered Sugar,Spaghetti Sauce,Powdered Sugar
Olive Oil,Bread,Eggplant,Couscous,Pickles,Couscous,Tomato,Frozen Dinners,Frozen Dinners,Cheese,Celery
nan,Brown Sugar,Canned Tomatoes,Canned Beans,Mayonnaise,Orange,Brown Sugar,Canned Tomatoes,Baking Powder,Pickles,Frozen Fruits
Olive Oil,Coffee,Cauliflower,Relish,Pears,Vinegar,Waffles,nan,Spaghetti Sauce,Cereal,Lime
Yeast,Grapes,Cantaloupe,Olive Oil,Fish,Frozen Fruits,Frozen Shrimp,Soy Milk,Asparagus,Canned Soup,Chocolate
Canned Tomatoes,Oats,Watermelon,Frozen Pizza,Honey,Brussels Sprouts,Banana,Eggs,Pancake Mix,nan,Pepper
Kale,Honeydew,Cookies,Heavy Cream,Nuts,nan,Kale,nan,Quinoa,Corn,Tea
Soy Milk,Water,Onion,Baking Soda,Crackers,Chili Pepper,Potato,Jam,Blueberries,Yogurt,Frozen Shrimp
Spinach,Dried Fruit,Peanut Butter,nan,Vinegar,Milk,Frozen Fish,Flour,Cookies,nan,Mustard
Kale,Sugar,Canned Beans,Soy Sauce,nan,Banana,Hot Sauce,Frozen Dinners,Eggs,Radishes,Beef
Couscous,Yogurt,Canned Soup,Eggplant,Chips,nan,Lettuce,Soy Sauce,Canned Tomatoes,Blackberries,Canned Beans
Salsa,Flour,Plums,Yogurt,Frozen Dinners,Cheese,Heavy Cream,Pickles,Milk,Pancake Mix,Heavy Cream
Lime,Peaches,Yogurt,Flour,Bell Pepper,Frozen Fruits,Lentils,nan,nan,Relish,Water
Quinoa,Peaches,Chili Pepper,Spaghetti Sauce,Waffles,Brussels Sprouts,nan,Chili Pepper,Chips,Chia Seeds,Celery
Sugar,Blueberries,Asparagus,Vinegar,Orange,Beans,Water,Pepper,Kale,Chili Pepper,Quinoa
Coffee,Lime,nan,Dried Fruit,nan,Lemon,Soy Sauce,Milk,Pickles,nan,Apple
Chips,nan,Frozen Dinners,Half and Half,Lime,Beans,Watermelon,Broccoli,Asparagus,Cottage Cheese,Frozen Vegetables
Sugar,Crackers,Quinoa,Eggplant,Raspberries,Lentils,Canned Tomatoes,nan,Half and Half,Beef,Bell Pepper
Mayonnaise,Honeydew,Nuts,nan,Baking Powder,Kale,Mangoes,Canned Tuna,Honeydew,Water,Pickles
Ketchup,nan,Strawberries,nan,Chips,nan,Frozen Dinners,Dried Fruit,Yogurt,Nuts,Frozen Fruits
nan,Plums,Beans,Spaghetti Sauce,Peas,Jam,Frozen Vegetables,nan,Hot Sauce,Soda,Whipped Cream
Chicken,nan,Sugar,Lettuce,Coconut Milk,Water,Mayonnaise,Lettuce,nan,Blackberries,Dried Fruit
Salsa,Vinegar,Dried Fruit,Watermelon,nan,Chicken,Lettuce,Frozen Dinners,Chocolate,Honeydew,Frozen Dinners
Canned Soup,Frozen Fruits,Couscous,Heavy Cream,Nectarines,Honeydew,Dried Fruit,Mustard,Soda,Celery,Bread
Peas,Cookies,Tomato,Apple,Coffee,Avocado,Milk,Olive Oil,Baking Powder,Pasta,Rice
Watermelon,Chia Seeds,Canned Tuna,Corn,Heavy Cream,Frozen Pizza,Kale,Half and Half,Pickles,Beans,Peas
Nectarines,Canned Beans,Honey,Celery,Mayonnaise,Potato,Dried Fruit,Soda,Cookies,Coconut Milk,Milk
Garlic,Hot Sauce,Dried Fruit,Broccoli,Barley,Pepper,Beef,Canned Beans,nan,nan,Cereal
Farro,Lentils,Avocado,Baking Powder,nan,Mangoes,Canned Tuna,Peanut Butter,Carrot,Coffee,Eggs
Hot Sauce,Spinach,Strawberries,Pepper,Strawberries,Brussels Sprouts,Cauliflower,nan,Almond Milk,Strawberries,Radishes
Butter,Salt,Ketchup,Orange,Waffles,Pickles,Potato,Orange,Nuts,Mustard,Jam
nan,Cornstarch,Corn,Baking Powder,Rice,Frozen Shrimp,Kale,Chia Seeds,Cauliflower,nan,nan
Soy Sauce,Chia Seeds,nan,Eggs,Pasta,Relish,Canned Beans,Canned Tuna,Cauliflower,Green Beans,Cucumber
Baking Powder,Brown Sugar,Bell Pepper,Onion,Almond Milk,nan,Jam,Honey,Pineapple,Frozen Dinners,nan
Butter Milk,Kale,Cucumber,Chicken,Mushrooms,nan,Frozen Pizza,Peas,Frozen Dinners,Dried Fruit,Chia Seeds
Cornstarch,Garlic,Heavy Cream,Vinegar,Maple Syrup,Flax Seeds,Couscous,Cottage Cheese,Ketchup,Yeast,Blueberries
Barley,Canned Tuna,Powdered Sugar,Almond Milk,Crackers,Eggplant,Blueberries,Chili Pepper,Frozen Fish,Asparagus,Pineapple
Couscous,Blueberries,nan,Brown Sugar,Breadcrumbs,nan,nan,Mangoes,Cantaloupe,Eggs,nan
Pears,Hot Sauce,Celery,Fish,Zucchini,Pancake Mix,Honeydew,Eggplant,Plums,nan,nan
Chili Pepper,Lentils,Potato,Brown Sugar,nan,Oats,Mushrooms,Watermelon,Tomato,Lentils,Mayonnaise
Mustard,Soy Sauce,Carrot,Cantaloupe,Half and Half,Canned Tuna,Chocolate,Chips,Peas,Half and Half,Peanut Butter
nan,Canned Tomatoes,Lime,Watermelon,Lime,Frozen Shrimp,Vinegar,Zucchini,Fish,Frozen Pizza,Spaghetti Sauce
Green Beans,Coffee,nan,Eggs,Nuts,Tea,nan,Blueberries,Green Beans,Mushrooms,Rice
Honeydew,Soda,Tomato,Cauliflower,Chips,Maple Syrup,Baking Soda,Cantaloupe,Canned Tuna,Beef,Soda
Nectarines,nan,Celery,Coconut Milk,Soy Sauce,Peanut Butter,Beef,Tea,Baking Soda,Waffles,Peaches
Soy Milk,Beef,Whipped Cream,Beans,Olive Oil,Peaches,Watermelon,Mustard,Orange,Canned Beans,Canned Tomatoes
Ketchup,Brown Sugar,nan,Corn,Peanut Butter,Mustard,Cereal,nan,Brussels Sprouts,Corn,Brussels Sprouts
Chia Seeds,Peaches,Honeydew,Cornstarch,Beans,Garlic,nan,Relish,nan,Baking Soda,Chili Pepper
Pickles,Tea,Banana,Pickles,Plums,Celery,Frozen Fruits,Corn,Brussels Sprouts,Blueberries,Salsa
Carrot,Zucchini,Peanut Butter,Water,Frozen Fish,Yeast,Jam,Coffee,Vinegar,Hot Sauce,Farro
Pepper,Peas,Plums,Whipped Cream,Banana,nan,Half and Half,Baking Powder,Grapes,Powdered Sugar,Frozen Dinners
Peanut Butter,Apple,Mayonnaise,nan,Baking Soda,Barley,Baking Soda,Spinach,Mangoes,Juice,Tea
Frozen Fruits,nan,Cucumber,Lentils,Frozen Shrimp,Barley,Corn,Apple,Crackers,Nuts,Beef
Barley,nan,Ice Cream,Relish,Pineapple,Relish,Nuts,Quinoa,Farro,Hot Sauce,Salsa
Dried Fruit,Honeydew,Maple Syrup,Sugar,Mushrooms,Chocolate,nan,Frozen Shrimp,Whipped Cream,Spinach,Breadcrumbs
Chicken,Eggplant,Heavy Cream,Frozen Shrimp,Heavy Cream,Spaghetti Sauce,nan,nan,Plums,Cottage Cheese,nan
Chili Pepper,Watermelon,Frozen Pizza,Beans,Frozen Shrimp,Cheese,Lettuce,Salt,nan,Zucchini,Butter Milk
Bread,Honeydew,Coconut Milk,Cantaloupe,Sugar,Onion,Brussels Sprouts,Cookies,Waffles,Cauliflower,Beef
Yogurt,nan,Pancake Mix,Cornstarch,Relish,Oats,Spaghetti Sauce,nan,Peas,Brown Sugar,Bread
nan,Frozen Dinners,nan,nan,Vinegar,Waffles,Salt,Couscous,Cantaloupe,Pepper,Pepper
Butter Milk,Barley,Yeast,Salt,Onion,Lemon,nan,Fish,Frozen Shrimp,Banana,Apple
Rice,Frozen Dinners,Onion,Nectarines,Watermelon,Coffee,Couscous,Chili Pepper,Spinach,Zucchini,Brown Sugar
Orange,Brussels Sprouts,nan,Bell Pepper,Frozen Fruits,Tomato,Tea,Couscous,Yeast,Pickles,Blackberries
nan,Lentils,Soy Milk,Soy Sauce,Coffee,Waffles,Raspberries,nan,Banana,Farro,nan
Apple,Baking Soda,Relish,Couscous,Mayonnaise,Honey,nan,Blackberries,Broccoli,Pineapple,nan
Peas,Garlic,Chicken,Plums,Spinach,Canned Soup,Baking Soda,Frozen Dinners,Strawberries,Barley,Sugar
Pepper,Watermelon,Baking Soda,Onion,Lemon,Heavy Cream,Eggplant,Canned Beans,Strawberries,Potato,Ice Cream
Beans,Cottage Cheese,nan,Peas,Pancake Mix,Raspberries,Eggs,Juice,Apple,Zucchini,Broccoli
Bread,Onion,Milk,Bell Pepper,Chocolate,Frozen Shrimp,Raspberries,Coconut Milk,Powdered Sugar,Potato,Coconut Milk
Butter,Celery,Breadcrumbs,Broccoli,nan,Relish,Lentils,Onion,Pickles,Oats,Frozen Fruits
Olive Oil,Olive Oil,Yogurt,Cornstarch,Hot Sauce,Celery,Couscous,nan,Radishes,nan,Pineapple
Banana,Orange,Avocado,Milk,Onion,Celery,Celery,Chips,Water,Juice,Water
Soda,Pears,Cereal,Cheese,Spaghetti Sauce,Coconut Milk,Watermelon,Frozen Shrimp,Soda,Broccoli,Carrot
Orange,Tea,nan,Beef,nan,Bell Pepper,nan,Lemon,Kale,Corn,Apple
Zucchini,Avocado,nan,Onion,Flax Seeds,nan,Asparagus,Heavy Cream,Canned Tomatoes,Brussels Sprouts,Chips
Mustard,nan,Chocolate,Flax Seeds,nan,Eggplant,Mangoes,Nectarines,Kale,Beans,Honeydew
Cookies,Beef,Butter,Yogurt,Spaghetti Sauce,Banana,Baking Soda,Farro,Chocolate,Heavy Cream,Crackers
Flax Seeds,Relish,Flour,Radishes,Frozen Vegetables,Celery,Brown Sugar,Pickles,Pepper,nan,Vinegar
Cornstarch,Avocado,Jam,Peanut Butter,Soy Milk,Salt,Waffles,Crackers,Rice,Blueberries,Nuts
Fish,Avocado,Strawberries,Ice Cream,nan,nan,Beans,Garlic,Yogurt,Powdered Sugar,Rice
nan,Lettuce,Lime,Oats,Chicken,Fish,Peaches,nan,Chia Seeds,Frozen Fish,Jam
Salt,Honey,Flax Seeds,Baking Powder,Vinegar,Mushrooms,Pickles,Celery,Mushrooms,Radishes,nan
Apple,Corn,nan,Apple,Chocolate,Oats,Butter Milk,Garlic,Orange,Waffles,Nuts
Avocado,Butter Milk,Chia Seeds,Plums,Brown Sugar,Yeast,nan,Honeydew,Frozen Pizza,nan,Beef
Olive Oil,Eggplant,Bell Pepper,Frozen Dinners,nan,Eggs,Waffles,Brown Sugar,Cantaloupe,Pasta,Broccoli
Coconut Milk,Lime,Whipped Cream,Lettuce,Chocolate,Pepper,Barley,Mangoes,Honey,Pasta,Pickles
Zucchini,Cereal,Barley,Powdered Sugar,Cheese,Powdered Sugar,Broccoli,Soda,Coffee,Water,Soda
Plums,Tea,Yogurt,Breadcrumbs,Grapes,Soy Milk,Couscous,Butter Milk,nan,Asparagus,Chicken
Chips,Mayonnaise,Olive Oil,Mayonnaise,Frozen Vegetables,Baking Soda,Mangoes,Cheese,Crackers,Tomato,Frozen Fruits
Raspberries,Cornstarch,Carrot,Baking Powder,Lentils,Soy Milk,Waffles,Almond Milk,Yeast,Almond Milk,Salsa
Grapes,Beans,Chili Pepper,Tomato,Soy Milk,Broccoli,Bell Pepper,nan,Chili Pepper,Nuts,Brussels Sprouts
nan,Butter,Flour,Eggplant,Oats,Hot Sauce,Broccoli,Relish,Garlic,nan,Celery
Bread,Peanut Butter,Brussels Sprouts,nan,Frozen Pizza,Juice,Water,Beans,Hot Sauce,Canned Beans,Waffles
Potato,Lime,Butter Milk,Carrot,Cucumber,Mayonnaise,Watermelon,Blueberries,Lime,Chili Pepper,Farro
Farro,Beans,Nuts,Relish,Water,Barley,nan,Barley,Chocolate,Brown Sugar,Bread
nan,nan,Chips,Crackers,Oats,Flax Seeds,Butter Milk,Ice Cream,Pancake Mix,Soy Sauce,Corn
Cottage Cheese,nan,nan,Tomato,Cucumber,Cottage Cheese,Pickles,Nuts,Milk,Blackberries,Honeydew
Spaghetti Sauce,Beans,Dried Fruit,Couscous,nan,Cereal,Yeast,Eggs,Frozen Fish,Frozen Pizza,Cantaloupe
Raspberries,Coffee,Coffee,Jam,Soy Milk,nan,Relish,Frozen Dinners,Crackers,Quinoa,Zucchini
Water,nan,nan,Zucchini,Corn,Garlic,Tea,Vinegar,Corn,Celery,Lentils
Relish,Quinoa,Brown Sugar,Lime,Canned Tomatoes,Garlic,Jam,Chips,Canned Soup,Barley,Radishes
Tea,Relish,Frozen Pizza,Farro,Relish,Fish,Ketchup,Cantaloupe,Peaches,Butter Milk,Cucumber
Broccoli,Chicken,Cheese,Coconut Milk,Mustard,nan,Water,Beans,nan,Pineapple,Peas
Blackberries,Sour Cream,Garlic,Whipped Cream,Tea,Butter,Jam,Chips,nan,Brussels Sprouts,Celery
Frozen Fish,Frozen Dinners,nan,nan,Chicken,Orange,nan,nan,Nuts,Crackers,Sugar
Quinoa,nan,nan,nan,Avocado,Peanut Butter,Celery,Butter Milk,Cantaloupe,Chili Pepper,Corn
Onion,Chia Seeds,Mayonnaise,Blackberries,nan,Breadcrumbs,Pancake Mix,Brown Sugar,Sugar,Apple,Breadcrumbs
nan,Sugar,nan,Mayonnaise,Blackberries,Tea,Peas,Plums,Peanut Butter,Coffee,Salsa
nan,Potato,Yogurt,Green Beans,nan,Frozen Dinners,nan,Frozen Vegetables,Salsa,Sugar,Flax Seeds
nan,Canned Soup,Asparagus,nan,Kale,Frozen Fish,Farro,Celery,Beef,Apple,Lentils
Salt,Ketchup,Heavy Cream,Lentils,Mustard,Juice,Peas,Eggplant,Garlic,Frozen Dinners,Barley
nan,Blueberries,Chia Seeds,nan,Maple Syrup,nan,Sour Cream,Coconut Milk,Beans,Juice,Cantaloupe
Chicken,Cornstarch,Onion,Cucumber,Peas,Chocolate,nan,Pickles,Olive Oil,Relish,Breadcrumbs
Barley,Lettuce,nan,Quinoa,Cornstarch,nan,Lentils,Chili Pepper,Frozen Fish,Honeydew,Half and Half
nan,Breadcrumbs,Mayonnaise,nan,Pepper,Milk,Strawberries,nan,Coconut Milk,Nuts,Cottage Cheese
nan,Almond Milk,Chicken,Celery,Blackberries,Frozen Dinners,Avocado,Lettuce,Green Beans,Mayonnaise,Vinegar
Pickles,Yeast,nan,Olive Oil,nan,Plums,Canned Tuna,Heavy Cream,Juice,Water,Ketchup
Ice Cream,Tomato,Soy Milk,Lemon,Dried Fruit,Mangoes,Lemon,Honeydew,Honeydew,Brussels Sprouts,Chia Seeds
Sour Cream,Waffles,Cornstarch,Pepper,Chia Seeds,Lettuce,Pepper,Butter,Vinegar,Coffee,Ice Cream
Coffee,Strawberries,Frozen Pizza,Cucumber,Breadcrumbs,Carrot,Chili Pepper,nan,nan,Soy Milk,Asparagus
Farro,Pears,Olive Oil,Chicken,Water,Cookies,nan,Pears,nan,Frozen Fish,Pasta
Watermelon,Honey,Sour Cream,Mushrooms,Strawberries,Grapes,Bell Pepper,nan,Onion,Coffee,nan
Half and Half,Grapes,Jam,Chia Seeds,nan,Frozen Dinners,Hot Sauce,Canned Soup,Fish,nan,Honey
Chicken,Rice,Salt,nan,Pasta,Cereal,Canned Soup,Lemon,Potato,Yeast,Banana
Cauliflower,Lentils,Milk,nan,Mangoes,Powdered Sugar,nan,Waffles,Soy Milk,Beef,Couscous
Quinoa,Eggs,Frozen Vegetables,Blueberries,Waffles,Radishes,Canned Soup,Onion,Juice,Lemon,Chia Seeds
Eggs,Rice,Rice,nan,Water,Salt,nan,Ketchup,Soy Milk,Beans,Frozen Shrimp
Sugar,Eggplant,Apple,Frozen Dinners,nan,Powdered Sugar,Ketchup,Lettuce,Crackers,Flour,Beef
Couscous,Hot Sauce,nan,Peanut Butter,Corn,Lime,Baking Soda,Olive Oil,Coffee,Grapes,Brussels Sprouts
Peaches,Crackers,Sour Cream,Bell Pepper,Beef,Pasta,Green Beans,Asparagus,Baking Powder,Pickles,Almond Milk
nan,Raspberries,Chia Seeds,Soda,Frozen Fish,Cookies,nan,Honey,Pears,Soda,Tomato
Powdered Sugar,Cauliflower,Vinegar,nan,Onion,Potato,Cookies,nan,nan,nan,Pasta
Lettuce,Honeydew,Oats,Butter Milk,Butter,Strawberries,Spaghetti Sauce,Beans,Honeydew,Bell Pepper,Watermelon
Oats,Eggs,Frozen Fish,Baking Soda,Dried Fruit,Watermelon,Water,Chocolate,Frozen Shrimp,nan,Radishes
Beef,Mushrooms,Cereal,Half and Half,Nectarines,Juice,Fish,Cauliflower,Baking Powder,Butter,Chocolate
Pepper,Pasta,Avocado,Olive Oil,Canned Beans,nan,nan,nan,Coffee,Breadcrumbs,Chips
Frozen Shrimp,Yeast,Cookies,Dried Fruit,nan,Strawberries,nan,Fish,Tomato,Yogurt,Asparagus
nan,Baking Powder,Canned Soup,Nuts,Pepper,Tea,Milk,Frozen Dinners,Eggplant,Chips,Chips
Mustard,Chili Pepper,Lentils,Blueberries,Coconut Milk,Quinoa,Water,Half and Half,Crackers,Zucchini,Raspberries
Tomato,Frozen Dinners,Apple,Lime,nan,Cookies,Pasta,Nectarines,Frozen Fruits,Eggs,nan
Salsa,Pancake Mix,Bell Pepper,Potato,Mangoes,Apple,Orange,Butter Milk,Frozen Dinners,Frozen Vegetables,nan
nan,nan,Honey,Frozen Dinners,Cheese,Spinach,Mushrooms,Yogurt,nan,Fish,Peanut Butter
Frozen Vegetables,nan,Bread,Nectarines,Mustard,Frozen Dinners,Honey,Nuts,Breadcrumbs,Crackers,Banana
Chicken,Plums,Nectarines,Baking Soda,Blueberries,Nectarines,Celery,Avocado,Cottage Cheese,Butter Milk,Grapes
Salt,Butter Milk,Zucchini,Corn,Peanut Butter,Peas,Butter Milk,Canned Soup,Peanut Butter,Farro,Brussels Sprouts
Beef,Cauliflower,Zucchini,Orange,Eggs,Green Beans,Cornstarch,Flax Seeds,Frozen Pizza,Half and Half,Pickles
nan,Bell Pepper,Frozen Pizza,Frozen Shrimp,Juice,Relish,Chili Pepper,nan,Mustard,nan,Almond Milk
Peanut Butter,Waffles,Fish,Peaches,Crackers,Pepper,Almond Milk,Bread,Relish,Lentils,nan
Mayonnaise,Brown Sugar,Butter,Ketchup,nan,Pepper,Cookies,Peanut Butter,Barley,nan,Ketchup
Tomato,Pancake Mix,Baking Powder,Strawberries,Relish,Frozen Shrimp,nan,Sour Cream,Canned Tomatoes,Butter,Canned Beans
Salsa,Yogurt,nan,Butter Milk,Coconut Milk,Maple Syrup,Rice,Ketchup,Spinach,Avocado,Canned Tomatoes
Relish,Yeast,Breadcrumbs,Canned Tuna,Lemon,Nuts,Rice,Cottage Cheese,Lentils,Cantaloupe,Water
nan,Salsa,Lentils,Relish,Eggplant,Brown Sugar,Celery,Frozen Fruits,Rice,Grapes,Mayonnaise
Pears,Honey,nan,Spaghetti Sauce,Blackberries,Lime,Fish,nan,Asparagus,Quinoa,Pepper
Apple,Asparagus,Cookies,Carrot,Soda,Cereal,Lentils,Yogurt,Pancake Mix,Asparagus,Pickles
Mushrooms,Canned Tomatoes,Pepper,Butter Milk,Flour,Coffee,Relish,Lettuce,Chia Seeds,Watermelon,Baking Soda
Blueberries,nan,Cottage Cheese,Cereal,Banana,Canned Tomatoes,Peas,Carrot,Ketchup,Watermelon,Pasta
Ketchup,nan,nan,Carrot,nan,Cucumber,nan,Peanut Butter,nan,Flour,Olive Oil
Cauliflower,Celery,Crackers,Spinach,Hot Sauce,Pickles,Corn,Quinoa,Butter,Canned Beans,Blueberries
Hot Sauce,Coconut Milk,Rice,Cheese,nan,Frozen Vegetables,Salt,Beef,Soda,Brown Sugar,Baking Powder
Frozen Fruits,Honey,Watermelon,Almond Milk,Plums,nan,Spinach,nan,Cauliflower,Breadcrumbs,Couscous
Celery,Frozen Pizza,Lentils,Lentils,Kale,Zucchini,Cauliflower,Asparagus,Pickles,Butter Milk,Frozen Vegetables
Frozen Pizza,Barley,Relish,Nectarines,Coffee,nan,Carrot,Salt,Frozen Shrimp,Peas,nan
nan,Pickles,Farro,Coffee,Cantaloupe,Mayonnaise,Frozen Pizza,Jam,nan,Apple,nan
nan,Broccoli,nan,Zucchini,Relish,Peas,Half and Half,Potato,Apple,Beans,Cottage Cheese
Bell Pepper,Asparagus,Jam,Cornstarch,Fish,Barley,Zucchini,Celery,nan,Coconut Milk,Frozen Fish
Waffles,Spaghetti Sauce,Breadcrumbs,Kale,Soda,Canned Beans,Salt,Pepper,nan,Carrot,Soda
Pepper,Sugar,nan,Eggs,Frozen Pizza,Carrot,Sour Cream,Cereal,nan,Chips,Nuts
Chocolate,Peanut Butter,Apple,Water,Maple Syrup,Sugar,Sour Cream,Lettuce,nan,Frozen Fruits,Garlic
Canned Soup,Pineapple,Sour Cream,Quinoa,Pears,Vinegar,Salsa,nan,Lemon,nan,Chicken
Farro,Brussels Sprouts,Lime,Raspberries,Salt,Mangoes,Nectarines,Mushrooms,Frozen Fruits,Frozen Fruits,Watermelon
Canned Soup,Cottage Cheese,nan,Chili Pepper,nan,Canned Tomatoes,Radishes,Spinach,Garlic,Brown Sugar,Asparagus
Sugar,Crackers,Barley,Raspberries,Frozen Fruits,Cheese,Bell Pepper,Frozen Fish,Kale,Maple Syrup,Ice Cream
Cookies,Mustard,Brown Sugar,Banana,Grapes,Peaches,Corn,Baking Powder,Waffles,Asparagus,Pepper
Mayonnaise,nan,Sugar,Mangoes,Couscous,Chili Pepper,Mayonnaise,Couscous,Butter Milk,Frozen Fish,Butter Milk
Olive Oil,Nuts,Strawberries,Salt,Sugar,nan,nan,Strawberries,Barley,Cheese,Flax Seeds
Water,Garlic,Olive Oil,Frozen Vegetables,Mangoes,Nuts,Onion,Spaghetti Sauce,Heavy Cream,Maple Syrup,Spaghetti Sauce
nan,Brown Sugar,nan,Hot Sauce,Nuts,Garlic,Tomato,Milk,nan,Fish,Honeydew
Farro,nan,Water,Water,Frozen Fruits,Hot Sauce,Tomato,Pickles,Watermelon,Canned Beans,Fish
Frozen Dinners,Honey,Frozen Fish,Soy Milk,Blueberries,Lettuce,Orange,nan,Canned Soup,Onion,Eggplant
Coffee,nan,Honey,Beans,Pepper,Chia Seeds,Yeast,Farro,Brussels Sprouts,Coffee,Chili Pepper
Yeast,Blackberries,Mayonnaise,Coconut Milk,Coffee,Pasta,Chocolate,Frozen Shrimp,Chicken,Tomato,Soda
Oats,Spaghetti Sauce,Cookies,nan,nan,Heavy Cream,Butter Milk,Mustard,Eggplant,Frozen Shrimp,Peaches
Powdered Sugar,Crackers,Chicken,Zucchini,Jam,nan,Pickles,Brussels Sprouts,Cottage Cheese,Baking Soda,Chips
nan,Baking Powder,Lemon,Fish,Pears,Cheese,Baking Soda,Potato,nan,Crackers,Yogurt
Pineapple,nan,Watermelon,Asparagus,Flour,Apple,Pears,Tea,Watermelon,nan,Baking Powder
Chips,Breadcrumbs,Brown Sugar,Lime,Vinegar,Frozen Fruits,Pepper,Bread,nan,Powdered Sugar,nan
